Key,Default,en,ru,
//CommonTexts,
enLanguageName,EnLanguageName,English,Английский,
ruLanguageName,RuLanguageName,Russian,Русский,
SettingsPopupMoreGames,SettingsPopupMoreGames,Reset Saves,Сброс прогресса,
SettingsPopupSound,SettingsPopupSound,Sound,Звук,
SettingsPopupMusic,SettingsPopupMusic,Music,Музыка,
SettingsPopupVibro,SettingsPopupVibro,Vibro,Вибрация,
SettingsPopupNotifications,SettingsPopupNotifications,Notifications,Уведомления,
SettingsPopupLanguage,SettingsPopupLanguage,Language,Язык,
SettingsPopupTutorial,SettingsPopupTutorial,Tutorial,Обучение,
SettingsPopupT&C,SettingsPopupT&C,Save slots,Слоты сохранения,
OkButtonText,OkButtonText,Ok,Ok,
MergeBoardUndo,MergeBoardUndo,Undo,Отменить,
SourceNani,Gen: Hello world!
@stop,Gen: Hello world!
@stop,Gen: Привет мир!
@stop,
LocationName1,LocationName1,Home 1,Красти Крабс,
LocationName2,LocationName2,Home 2,Дом колхозника,
LocationName3,LocationName3,Home 3,Сельский туалет,
MergeChainInfoPopupCreatedAt,MergeChainInfoPopupCreatedAt,Created at:,Создается в:,
LevelWithCount,{0} lvl,{0} lvl,{0} ур.,
//PopupTitles,
SettingsPopupTitle,SettingsPopupTitle,Settings,Настройки,
ChooseLanguageTitle,ChooseLanguageTitle,Choose language:,Выбор языка:,
MergeChainInfoPopupTitle,MergeChainInfoPopupTitle,Merge chain,Цепочка мержа,
NewLevelTitle,NewLevelTitle,NEW LEVEL?!,НОВЫЙ УРОВЕНЬ?!,
GiftTitle,GiftTitle,A gift!?,Подарок?,
WheatTitle,WheatTitle,Wheat,Пшеница,
PrivacyPolicyTitle,SettingsPopupPrivacyPolicy,Privacy Policy,Пользовательское соглашение,
OfferEnergyTitle,OfferEnergyTitle,Energy is over!,Энергия кончилась!,
OfferCarrotsShopTitle,OfferCarrotsShopTitle,So few carrots!,Так мало морковок!,
OfferCarrotsBuildTitle,OfferCarrotsBuildTitle,Stocks of carrots are empty!,Склад морковок пуст!,
Can'tBeImprovedTitle,Can'tBeImprovedTitle,Perfect can't be Improved,Безупречно. нельзя улучшить,
//PopupTexts,
TakeRewardPT,TakeRewardPT,Take the reward and keep playing. We love you!,Возьми награду и продолжай играть. Мы тебя любим!,
TakeAdRewardPT,TakeAdRewardPT,Watch the cartoon and get more:,Посмотри мультик и получи ещё:,
TiredBunniesPT,TiredBunniesPT,Bunnies are tired and can't craft items yet.,Зайчики устали и пока не могут создавать предметы.,
ProducesRationPT,ProducesRationPT,Produces a ration every 4 hours,Производит паёк раз в 4 часа,
HoldHint,HoldHint,Press and hold,Зажми,
ReadyHint,ReadyHint,Ready,Готово,
OfferCarrotsShopPT,OfferCarrotsShopPT,Oh. no! Looks like we don’t have enough carrots.,О. нет! Похоже что нам не хватает морковок.,
OfferCarrotsBuildPT,OfferCarrotsBuildPT,The building is almost upgraded! This is all that we need!,Здание почти улучшенно! Это всё что нам не хватает!,
SmallGiftName,SmallGiftName,Small gift,Маленький подарок,
MediumGiftName,MediumGiftName,Medium gift,Средний подарок,
LargeGiftName,LargeGiftName,Large gift,Супер подарок,
CreatedInPT,CreatedInPT,Created in:,Создаётся в:,
CreatesPT,CreatesPT,Creates:,Создаёт:,
//ButtonTexts,
TakeBT,TakeBT,Take!,Взять!,
TakeAllBT,TakeAllBT,Take all!,Взять всё!,
CartoonBT,CartoonBT,Cartoon!,Мультик!,
UpgradeHoldButton,UpgradeHoldButton,Upgrade,Улучшить,
UpgradeFinalButton,UpgradeFinalButton,Complete,Завершить,
PrivacyPolicyButton,PrivacyPolicyButton,Privacy Policy,Соглашение,
//ObjectHeaders&Desc.,
ScarecrowHeader,ScarecrowHeader,Scarecrow,Пугало,
ScarecrowDescription,ScarecrowDescription,Scarecrow helps defend the hay,Пугает ворон. защищает урожай,
WheatFieldHeader,WheatFieldHeader,Wheat Field,Пшеничное поле,
WheatFieldDescription,WheatFieldDescription,Gives wheat to bake the bread,Поле. Пшеничное. Большое и красивое.,
BoxesWithWheatHeader,BoxesWithWheatHeader,Boxes with wheat,Хранилище пшеницы,
BoxesWithWheatDescription,BoxesWithWheatDescription,Keeps the wheat,Здесь хранится пшеница. Что здесь вообще нужно писать?,
HaystacksHeader,HaystacksHeader,Haystacks,Стоги сена,
HaystacksDescription,HaystacksDescription,Someone will move it to boxes later,Напишите здесь что-нибудь сами. пожалуйста.,
MillHeader,MillHeader,Mill,Мельница,
MillDescription,MillDescription,Grinds wheat,Что делают кофейные зёрна перед смертью?,
GardenerHouseHeader,GardenerHouseHeader,Gardener House,Дом Садовника,
GardenerHouseDescription,GardenerHouseDescription,The gardener lives here,Здесь живёт садовник,
PicnicHeader,PicnicHeader,Picnic,Пикник,
PicnicDescription,PicnicDescription,Great place to relax,Отличное место для отдыха,
AppleTreeHeader,AppleTreeHeader,Apple Tree,Яблоня,
AppleTreeDescription,AppleTreeDescription,Provides apples during every summer. And you can hide in the shade,Снабжает яблоками на протяжении каждого лета. А ещё можно спрятаться в тени.,
BridgeHeader,BridgeHeader,Bridge,Мостик,
BridgeDescription,BridgeDescription,Can be used to cross the river,По нему можно пересечь реку,
CherryTreeHeader,CherryTreeHeader,Cherry Tree,Вишня,
CherryTreeDescription,CherryTreeDescription,Very sweet berries,Очень сладкие ягоды,
//Items,
consumable_softName,consumable_soft,Carrots,Морковки,
consumable_hardName,consumable_hard,Diamond Carrots,Алмазные Морковки,
consumable_energyName,consumable_energy,Bundles of Energy,Пучок Энергии,
spawner_foodName,spawner_food,Kitchen,Кухня,
spawner_foodplateName,spawner_foodplate,Delicious Dish,Блюдо,
item_foodName,item_food,Food,Вкуснятина,
item_drinkName,item_drink,Drink,Напитки,
spawner_toolsName,spawner_tools,Tool Container,Ящик с инструментами,
item_toolName,item_tool,Tool,Инструменты,
item_nailName,item_nail,Nail,Гвозди,
spawner_stonesName,spawner_stones,Mine,Шахта,
item_stoneName,item_stone,Ore,Руда,
spawner_woodsName,spawner_woods,Tree,Дерево,
item_woodName,item_wood,Wood,Древесина,
item_fruitName,item_fruit,Fruit,Фрукты,
spawner_drawingsName,spawner_drawings,Organizer,Органайзер,
item_stationeryName,item_stationery,Stationary,Канцелярия,
item_drawingName,item_drawing,Blueprints,Чертежи,
box_goldName,box_gold,Carrot box,Ящик с морковью,
box_tutorial_firstspawnerName,box_tutorial_firstspawner,Tool Container,Ящик с инструментами,
