Id,Items,Units,Currencies,
quest_A1,item_nail_2,,Soft-25/Experience-1,
quest_A2,item_tool_3,,Soft-10/Experience-2,
quest_A3,item_tool_2,box_gold_10,Soft-15/Experience-1,
quest_A4,item_nail_2,,Soft-10/Experience-1,
quest_A5,item_tool_2,,Soft-10/Experience-1,
quest_A6,item_tool_3,,Soft-15/Experience-2,
quest_A7,item_tool_2,box_tutorial_gift_0,Soft-10/Experience-1,
quest_A8,item_tool_3,,Soft-10/Experience-2,
quest_A9,item_tool_2,box_tutorial_gift_1,Soft-10/Experience-1,
quest_A10,item_nail_2,,Soft-10/Experience-4,
quest_A11,item_tool_6,,Soft-15/Experience-5,
quest_A12,item_tool_2,box_tutorial_gift_2,Soft-10/Experience-1,
quest_A13,item_tool_2/item_tool_3,box_tutorial_gift_3/box_gold_5,Soft-20/Experience-5,
quest_A14,item_tool_4,safe_tutorial_gift_0,Soft-10/Experience-3,
quest_A15,item_tool_2/item_tool_3/item_wood_0,safe_tutorial_gift_1/spawner_drawings_3/box_energy_small,Soft-30/Experience-3,
quest_A16,item_nail_2/item_tool_3,,Soft-20/Experience-3,
quest_A17,item_fruit_3,,Soft-10/Experience-2,
quest_A18,item_stationery_2/item_stationery_4,box_energy_small,Soft-20/Experience-4,
quest_A19,item_fruit_3/item_nail_2,box_gold_5,Soft-20/Experience-3,
quest_A20,item_wood_2,,Soft-10/Experience-1,
quest_B1,item_stationery_6,box_gold_10/consumable_hard_0,Soft-20/Experience-10,
quest_C1,item_food_4,safe_gift_C_0,Soft-10/Experience-8,
quest_C2,item_stationery_3,,Soft-10/Experience-1,
quest_C3,item_tool_3,box_gold_10,Soft-10/Experience-1,
quest_C4,item_wood_2,,Soft-10/Experience-1,
quest_C5,item_tool_1/item_nail_1,,Soft-10/Experience-2,
quest_D1,item_tool_5,safe_gift_D_0,Soft-10/Experience-3,
quest_D2,item_stone_1,,Soft-5/Experience-1,
quest_D3,item_stone_2,,Soft-5/Experience-1,
quest_D4,item_drink_1,,Soft-10/Experience-2,
quest_D5,item_tool_3,,Soft-5/Experience-1,
quest_D6,item_wood_1,,Soft-10/Experience-1,
quest_D7,item_nail_0,box_gold_10,Soft-10/Experience-1,
quest_D8,item_fruit_2,,Soft-5/Experience-1,
quest_D9,item_tool_1,,Soft-5/Experience-1,
quest_D10,item_tool_2,,Soft-5/Experience-1,
quest_D11,item_nail_0,box_energy_small,Soft-5/Experience-1,
quest_D12,item_tool_2,,Soft-5/Experience-1,
quest_D13,item_fruit_1,,Soft-5/Experience-1,
quest_D14,item_stationery_3,,Soft-5/Experience-1,
quest_D15,item_food_2/item_drink_0,,Soft-10/Experience-3,
quest_E1,item_fruit_1/item_nail_2,box_gold_10,Soft-20/Experience-2,
quest_E2,item_food_3/item_food_4,box_energy_small,Soft-20/Experience-10,
quest_E3,item_fruit_4/item_food_1,,Soft-20/Experience-6,
quest_E4,item_nail_2/item_wood_4,box_gold_10,Soft-20/Experience-8,
quest_E5,item_food_4,,Soft-10/Experience-6,
quest_G1,item_food_3,,Soft-15/Experience-4,
quest_G2,item_tool_5,,Soft-20/Experience-3,
quest_G3,item_food_1/item_fruit_1,box_energy_small,Soft-20/Experience-1,
quest_G4,item_tool_3/item_wood_3,,Soft-20/Experience-2,
quest_G5,item_nail_1/item_tool_4/item_wood_1,,Soft-25/Experience-4,
